Article_ID,DOI,Authors,Year,Continent,Country,City,Bee genus,Bee species,Bee merged,Bee full,Abundance,Bee_ID_per_study,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Hoplitis,anthocopoides,Hoplitis anthocopoides,"Hoplitis anthocopoides Schenck, 1853",1,99,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,bruneri,Lasioglossum bruneri,"Lasioglossum bruneri Crawford, 1902",1,100,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,heterognathum,Lasioglossum heterognathum,"Lasioglossum heterognathum Mitchell, 1960",1,101,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,leucocomum,Lasioglossum leucocomum,"Lasioglossum leucocomum Lovell, 1908",1,102,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,nigroviride,Lasioglossum nigroviride,"Lasioglossum nigroviride Graenicher, 1911",1,103,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,oblongum,Lasioglossum oblongum,"Lasioglossum oblongum Lovell, 1905",1,104,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,planatum,Lasioglossum planatum,"Lasioglossum planatum Lovell, 1905",1,105,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,A2,Lasioglossum A2,Lasioglossum A2,1,106,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,subversans,Lasioglossum subversans,"Lasioglossum subversans Mitchell, 1960",1,107,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,A3,Lasioglossum A3,Lasioglossum A3,1,108,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Lasioglossum,viridatum,Lasioglossum viridatum,"Lasioglossum viridatum Lovell, 1905",1,109,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Macropis,nuda,Macropis nuda,"Macropis nuda Provancher, 1882",1,110,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,latimanus,Megachile latimanus,"Megachile latimanus Say, 1823",1,111,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,melanophaea,Megachile melanophaea,"Megachile melanophaea Smith, 1853",1,112,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,montivaga,Megachile montivaga,"Megachile montivaga Cresson, 1878",1,113,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Megachile,pugnata,Megachile pugnata,"Megachile pugnata Say, 1837",1,114,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Melissodes,A1,Melissodes A1,Melissodes A1,1,115,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Melissodes,illata,Melissodes illata,"Melissodes illata Lovell and Cockerell, 1906",1,116,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Melissodes,trinodis,Melissodes trinodis,"Melissodes trinodis Robertson, 1901",1,117,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Osmia,pumila,Osmia pumila,"Osmia pumila Cresson, 1864",1,118,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Osmia,sandhouseae,Osmia sandhouseae,"Osmia sandhouseae Mitchell, 1927",1,119,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Sphecodes,dichrous,Sphecodes dichrous,"Sphecodes dichrous Smith, 1853",1,120,,,,,,,,,,,,,,
A3,https://doi.org/10.7717/peerj.14699,MacIannis et al.,2023,America,Canada,Montreal,Stelis,A1,Stelis A1,Stelis A1,1,121,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Lasioglossum,cressonii,Lasioglossumcressonii,Lasioglossum cressonii,425,1,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Halictus,rubicundus,Halictusrubicundus,Halictus rubicundus,150,2,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Lasioglossum,smilacinae,Lasioglossumsmilacinae,Lasioglossum smilacinae,82,3,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Lasioglossum,pilosum,Lasioglossumpilosum,Lasioglossum pilosum,80,4,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Melissodes,desponsus,Melissodesdesponsus,Melissodes desponsus,78,5,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Lasioglossum,anomalum,Lasioglossumanomalum,Lasioglossum anomalum,70,6,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Melissodes,bimaculatus,Melissodesbimaculatus,Melissodes bimaculatus,64,7,,,,,,,,,,,,,,
A4,https://doi.org/10.1371/journal.pone.0281468,"M Anderson, F Crubaugh, C Greenslit, E Hill, H Kroth…",2023,America,USA,Fox cities,Augochorella,aurata,Augochorellaaurata,Augochorella aurata,57,8,,,,,,,,,,,,,,
